iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,median_age,gdp_per_capita,human_development_index,CPI_score_2020,vaccines_used
DOM,North America,Dominican Republic,2021-04-01,253196,3330,23340.546,306.972,0,0,0,0,0,0,0,0,10847904,27.6,14600.861,0.756,28,AstraZeneca - AZD1222
DOM,North America,Dominican Republic,2021-04-01,253196,3330,23340.546,306.972,0,0,0,0,0,0,0,0,10847904,27.6,14600.861,0.756,28,SII - Covishield
DOM,North America,Dominican Republic,2021-04-01,253196,3330,23340.546,306.972,0,0,0,0,0,0,0,0,10847904,27.6,14600.861,0.756,28,Sinovac - CoronaVac
ECU,South America,Ecuador,2021-04-01,330388,16877,18726.23,956.58,1093712,61.991,283106,204902,78204,1.6,1.16,0.44,17643060,28.1,10581.936,0.759,39,AstraZeneca - AZD1222
ECU,South America,Ecuador,2021-04-01,330388,16877,18726.23,956.58,1093712,61.991,283106,204902,78204,1.6,1.16,0.44,17643060,28.1,10581.936,0.759,39,Pfizer BioNTech - Comirnaty
ECU,South America,Ecuador,2021-04-01,330388,16877,18726.23,956.58,1093712,61.991,283106,204902,78204,1.6,1.16,0.44,17643060,28.1,10581.936,0.759,39,Sinovac - CoronaVac
EGY,Africa,Egypt,2021-04-01,202843,12041,1982.158,117.663,0,0,0,0,0,0,0,0,102334403,25.3,10550.206,0.707,33,AstraZeneca - AZD1222
EGY,Africa,Egypt,2021-04-01,202843,12041,1982.158,117.663,0,0,0,0,0,0,0,0,102334403,25.3,10550.206,0.707,33,Beijing CNBG - Inactivated
EGY,Africa,Egypt,2021-04-01,202843,12041,1982.158,117.663,0,0,0,0,0,0,0,0,102334403,25.3,10550.206,0.707,33,Gamaleya - Sputnik V
SLV,North America,El Salvador,2021-04-01,64875,2006,10002.003,309.272,844415,130.186,120476,120476,0,1.86,1.86,0,6486201,27.6,7292.458,0.673,36,AstraZeneca - AZD1222
SLV,North America,El Salvador,2021-04-01,64875,2006,10002.003,309.272,844415,130.186,120476,120476,0,1.86,1.86,0,6486201,27.6,7292.458,0.673,36,Pfizer BioNTech - Comirnaty
SLV,North America,El Salvador,2021-04-01,64875,2006,10002.003,309.272,844415,130.186,120476,120476,0,1.86,1.86,0,6486201,27.6,7292.458,0.673,36,Sinovac - CoronaVac
GNQ,Africa,Equatorial Guinea,2021-04-01,7008,103,4995.064,73.415,0,0,14080,11090,2990,1,0.79,0.21,1402985,22.4,22604.873,0.592,16,Beijing CNBG - Inactivated
GNQ,Africa,Equatorial Guinea,2021-04-01,7008,103,4995.064,73.415,0,0,14080,11090,2990,1,0.79,0.21,1402985,22.4,22604.873,0.592,16,Sinovac - CoronaVac
ERI,Africa,Eritrea,2021-04-01,3308,10,932.77,2.82,0,0,0,0,0,0,0,0,3546427,19.3,1510.459,0.459,21,NA
EST,Europe,Estonia,2021-04-01,107253,908,80851.75,684.488,1155634,871.165,267061,203365,63696,20.13,15.33,4.8,1326539,42.7,29481.252,0.892,75,AstraZeneca - AZD1222
EST,Europe,Estonia,2021-04-01,107253,908,80851.75,684.488,1155634,871.165,267061,203365,63696,20.13,15.33,4.8,1326539,42.7,29481.252,0.892,75,Janssen - Ad26.COV 2.5
EST,Europe,Estonia,2021-04-01,107253,908,80851.75,684.488,1155634,871.165,267061,203365,63696,20.13,15.33,4.8,1326539,42.7,29481.252,0.892,75,Moderna - mRNA-1273
EST,Europe,Estonia,2021-04-01,107253,908,80851.75,684.488,1155634,871.165,267061,203365,63696,20.13,15.33,4.8,1326539,42.7,29481.252,0.892,75,Pfizer BioNTech - Comirnaty
SWZ,Africa,Eswatini,2021-04-01,17344,668,14949.611,575.781,0,0,0,0,0,0,0,0,1160164,21.5,7738.975,0.611,33,SII - Covishield
ETH,Africa,Ethiopia,2021-04-01,208961,2890,1817.628,25.138,2365187,20.573,0,0,0,0,0,0,114963583,19.8,1729.927,0.485,38,Beijing CNBG - Inactivated
ETH,Africa,Ethiopia,2021-04-01,208961,2890,1817.628,25.138,2365187,20.573,0,0,0,0,0,0,114963583,19.8,1729.927,0.485,38,Bharat - Covaxin
ETH,Africa,Ethiopia,2021-04-01,208961,2890,1817.628,25.138,2365187,20.573,0,0,0,0,0,0,114963583,19.8,1729.927,0.485,38,SII - Covishield
FJI,Oceania,Fiji,2021-04-01,67,2,74.74,2.231,39142,43.664,0,0,0,0,0,0,896444,28.6,8702.975,0.743,NA,AstraZeneca - AZD1222
FIN,Europe,Finland,2021-04-01,78106,846,14096.729,152.688,4035960,728.418,1020206,930842,89364,18.41,16.8,1.61,5540718,42.8,40585.721,0.938,85,AstraZeneca - AZD1222
FIN,Europe,Finland,2021-04-01,78106,846,14096.729,152.688,4035960,728.418,1020206,930842,89364,18.41,16.8,1.61,5540718,42.8,40585.721,0.938,85,Moderna - mRNA-1273
FIN,Europe,Finland,2021-04-01,78106,846,14096.729,152.688,4035960,728.418,1020206,930842,89364,18.41,16.8,1.61,5540718,42.8,40585.721,0.938,85,Pfizer BioNTech - Comirnaty
FRA,Europe,France,2021-04-01,4755779,96106,69786.36,1410.261,0,0,11771461,8833275,2938186,17.27,12.96,4.31,68147687,42,38605.671,0.901,69,AstraZeneca - AZD1222
FRA,Europe,France,2021-04-01,4755779,96106,69786.36,1410.261,0,0,11771461,8833275,2938186,17.27,12.96,4.31,68147687,42,38605.671,0.901,69,Moderna - mRNA-1273
FRA,Europe,France,2021-04-01,4755779,96106,69786.36,1410.261,0,0,11771461,8833275,2938186,17.27,12.96,4.31,68147687,42,38605.671,0.901,69,Pfizer BioNTech - Comirnaty
GAB,Africa,Gabon,2021-04-01,19550,118,8783.643,53.016,0,0,0,0,0,0,0,0,2225728,23.1,16562.413,0.703,30,Beijing CNBG - Inactivated
GMB,Africa,Gambia,2021-04-01,5459,165,2258.899,68.276,57622,23.844,0,0,0,0,0,0,2416664,17.5,1561.767,0.496,37,Beijing CNBG - Inactivated
GMB,Africa,Gambia,2021-04-01,5459,165,2258.899,68.276,57622,23.844,0,0,0,0,0,0,2416664,17.5,1561.767,0.496,37,SII - Covishield
GEO,Asia,Georgia,2021-04-01,282260,3785,70756.485,948.818,0,0,0,0,0,0,0,0,3989175,38.7,9745.079,0.812,56,AstraZeneca - AZD1222
GEO,Asia,Georgia,2021-04-01,282260,3785,70756.485,948.818,0,0,0,0,0,0,0,0,3989175,38.7,9745.079,0.812,56,Pfizer BioNTech - Comirnaty
DEU,Europe,Germany,2021-04-01,2866323,76823,34210.886,916.918,0,0,14456038,10143734,4312304,17.25,12.11,5.15,83783945,46.6,45229.245,0.947,80,AstraZeneca - AZD1222
DEU,Europe,Germany,2021-04-01,2866323,76823,34210.886,916.918,0,0,14456038,10143734,4312304,17.25,12.11,5.15,83783945,46.6,45229.245,0.947,80,Moderna - mRNA-1273
DEU,Europe,Germany,2021-04-01,2866323,76823,34210.886,916.918,0,0,14456038,10143734,4312304,17.25,12.11,5.15,83783945,46.6,45229.245,0.947,80,Pfizer BioNTech - Comirnaty
GHA,Africa,Ghana,2021-04-01,90583,743,2915.173,23.911,1011223,32.544,0,0,0,0,0,0,31072945,21.1,4227.63,0.611,43,Gamaleya - Sputnik V
GHA,Africa,Ghana,2021-04-01,90583,743,2915.173,23.911,1011223,32.544,0,0,0,0,0,0,31072945,21.1,4227.63,0.611,43,SII - Covishield
GRC,Europe,Greece,2021-04-01,267172,8160,25632.789,782.88,6589204,632.176,1739051,1114363,624688,16.68,10.69,5.99,10423056,45.3,24574.382,0.888,50,AstraZeneca - AZD1222
GRC,Europe,Greece,2021-04-01,267172,8160,25632.789,782.88,6589204,632.176,1739051,1114363,624688,16.68,10.69,5.99,10423056,45.3,24574.382,0.888,50,Moderna - mRNA-1273
GRC,Europe,Greece,2021-04-01,267172,8160,25632.789,782.88,6589204,632.176,1739051,1114363,624688,16.68,10.69,5.99,10423056,45.3,24574.382,0.888,50,Pfizer BioNTech - Comirnaty
GRD,North America,Grenada,2021-04-01,155,1,1377.545,8.887,0,0,0,0,0,0,0,0,112519,29.4,13593.877,0.779,53,SII - Covishield
GTM,North America,Guatemala,2021-04-01,194756,6860,10870.77,382.907,1056599,58.977,110438,109246,1192,0.62,0.61,0.01,17915567,22.9,7423.808,0.663,25,AstraZeneca - AZD1222
GTM,North America,Guatemala,2021-04-01,194756,6860,10870.77,382.907,1056599,58.977,110438,109246,1192,0.62,0.61,0.01,17915567,22.9,7423.808,0.663,25,Moderna - mRNA-1273
GTM,North America,Guatemala,2021-04-01,194756,6860,10870.77,382.907,1056599,58.977,110438,109246,1192,0.62,0.61,0.01,17915567,22.9,7423.808,0.663,25,SII - Covishield
GIN,Africa,Guinea,2021-04-01,20083,127,1529.225,9.67,0,0,0,0,0,0,0,0,13132792,19,1998.926,0.477,28,Beijing CNBG - Inactivated
GIN,Africa,Guinea,2021-04-01,20083,127,1529.225,9.67,0,0,0,0,0,0,0,0,13132792,19,1998.926,0.477,28,Gamaleya - Sputnik V
GIN,Africa,Guinea,2021-04-01,20083,127,1529.225,9.67,0,0,0,0,0,0,0,0,13132792,19,1998.926,0.477,28,Janssen - Ad26.COV 2.5
GIN,Africa,Guinea,2021-04-01,20083,127,1529.225,9.67,0,0,0,0,0,0,0,0,13132792,19,1998.926,0.477,28,Pfizer BioNTech - Comirnaty
GIN,Africa,Guinea,2021-04-01,20083,127,1529.225,9.67,0,0,0,0,0,0,0,0,13132792,19,1998.926,0.477,28,SII - Covishield
GIN,Africa,Guinea,2021-04-01,20083,127,1529.225,9.67,0,0,0,0,0,0,0,0,13132792,19,1998.926,0.477,28,Sinovac - CoronaVac
GNB,Africa,Guinea-Bissau,2021-04-01,3661,63,1860.266,32.012,0,0,0,0,0,0,0,0,1967998,19.4,1548.675,0.48,19,Beijing CNBG - Inactivated
GNB,Africa,Guinea-Bissau,2021-04-01,3661,63,1860.266,32.012,0,0,0,0,0,0,0,0,1967998,19.4,1548.675,0.48,19,SII - Covishield
GUY,South America,Guyana,2021-04-01,10375,233,13190.365,296.227,0,0,0,0,0,0,0,0,786559,26.3,7435.047,0.682,41,AstraZeneca - AZD1222
GUY,South America,Guyana,2021-04-01,10375,233,13190.365,296.227,0,0,0,0,0,0,0,0,786559,26.3,7435.047,0.682,41,Beijing CNBG - Inactivated
GUY,South America,Guyana,2021-04-01,10375,233,13190.365,296.227,0,0,0,0,0,0,0,0,786559,26.3,7435.047,0.682,41,Gamaleya - Sputnik V
GUY,South America,Guyana,2021-04-01,10375,233,13190.365,296.227,0,0,0,0,0,0,0,0,786559,26.3,7435.047,0.682,41,SII - Covishield
HTI,North America,Haiti,2021-04-01,12762,252,1119.225,22.1,0,0,0,0,0,0,0,0,11402533,24.3,1653.173,0.51,18,NA
HND,North America,Honduras,2021-04-01,189726,4622,19155.326,466.651,0,0,0,0,0,0,0,0,9904608,24.9,4541.795,0.634,24,AstraZeneca - AZD1222
HND,North America,Honduras,2021-04-01,189726,4622,19155.326,466.651,0,0,0,0,0,0,0,0,9904608,24.9,4541.795,0.634,24,Moderna - mRNA-1273
HUN,Europe,Hungary,2021-04-01,661721,20995,68498.657,2173.317,4198760,434.638,3019875,2156680,863195,31.26,22.33,8.94,9660350,43.4,26777.561,0.854,44,AstraZeneca - AZD1222
HUN,Europe,Hungary,2021-04-01,661721,20995,68498.657,2173.317,4198760,434.638,3019875,2156680,863195,31.26,22.33,8.94,9660350,43.4,26777.561,0.854,44,Beijing CNBG - Inactivated
HUN,Europe,Hungary,2021-04-01,661721,20995,68498.657,2173.317,4198760,434.638,3019875,2156680,863195,31.26,22.33,8.94,9660350,43.4,26777.561,0.854,44,Gamaleya - Sputnik V
HUN,Europe,Hungary,2021-04-01,661721,20995,68498.657,2173.317,4198760,434.638,3019875,2156680,863195,31.26,22.33,8.94,9660350,43.4,26777.561,0.854,44,Janssen - Ad26.COV 2.5
HUN,Europe,Hungary,2021-04-01,661721,20995,68498.657,2173.317,4198760,434.638,3019875,2156680,863195,31.26,22.33,8.94,9660350,43.4,26777.561,0.854,44,Moderna - mRNA-1273
HUN,Europe,Hungary,2021-04-01,661721,20995,68498.657,2173.317,4198760,434.638,3019875,2156680,863195,31.26,22.33,8.94,9660350,43.4,26777.561,0.854,44,Pfizer BioNTech - Comirnaty
HUN,Europe,Hungary,2021-04-01,661721,20995,68498.657,2173.317,4198760,434.638,3019875,2156680,863195,31.26,22.33,8.94,9660350,43.4,26777.561,0.854,44,Sinovac - CoronaVac
ISL,Europe,Iceland,2021-04-01,6205,29,18183.15,84.982,310608,910.207,0,0,0,0,0,0,341250,37.3,46482.958,0.949,75,AstraZeneca - AZD1222
ISL,Europe,Iceland,2021-04-01,6205,29,18183.15,84.982,310608,910.207,0,0,0,0,0,0,341250,37.3,46482.958,0.949,75,Janssen - Ad26.COV 2.5
ISL,Europe,Iceland,2021-04-01,6205,29,18183.15,84.982,310608,910.207,0,0,0,0,0,0,341250,37.3,46482.958,0.949,75,Moderna - mRNA-1273
ISL,Europe,Iceland,2021-04-01,6205,29,18183.15,84.982,310608,910.207,0,0,0,0,0,0,341250,37.3,46482.958,0.949,75,Pfizer BioNTech - Comirnaty
IND,Asia,India,2021-04-01,12303131,163396,8915.284,118.403,244798621,177.39,68789138,59148798,9640340,4.98,4.29,0.7,1380004385,28.2,6426.674,0.645,40,Bharat - Covaxin
IND,Asia,India,2021-04-01,12303131,163396,8915.284,118.403,244798621,177.39,68789138,59148798,9640340,4.98,4.29,0.7,1380004385,28.2,6426.674,0.645,40,Gamaleya - Sputnik V
IND,Asia,India,2021-04-01,12303131,163396,8915.284,118.403,244798621,177.39,68789138,59148798,9640340,4.98,4.29,0.7,1380004385,28.2,6426.674,0.645,40,SII - Covishield
IDN,Asia,Indonesia,2021-04-01,1517854,41054,5549.261,150.093,8545630,31.243,12226028,8371577,3854451,4.47,3.06,1.41,273523621,29.3,11188.744,0.718,37,SII - Covishield
IDN,Asia,Indonesia,2021-04-01,1517854,41054,5549.261,150.093,8545630,31.243,12226028,8371577,3854451,4.47,3.06,1.41,273523621,29.3,11188.744,0.718,37,Sinovac - CoronaVac
IRN,Asia,Iran,2021-04-01,1897314,62759,22588.966,747.194,12893317,153.505,0,0,0,0,0,0,83992953,32.4,19082.62,0.783,25,AstraZeneca - AZD1222
IRN,Asia,Iran,2021-04-01,1897314,62759,22588.966,747.194,12893317,153.505,0,0,0,0,0,0,83992953,32.4,19082.62,0.783,25,Beijing CNBG - Inactivated
IRN,Asia,Iran,2021-04-01,1897314,62759,22588.966,747.194,12893317,153.505,0,0,0,0,0,0,83992953,32.4,19082.62,0.783,25,Bharat - Covaxin
IRN,Asia,Iran,2021-04-01,1897314,62759,22588.966,747.194,12893317,153.505,0,0,0,0,0,0,83992953,32.4,19082.62,0.783,25,Gamaleya - Sputnik V
IRQ,Asia,Iraq,2021-04-01,856939,14360,21304.965,357.014,0,0,0,0,0,0,0,0,40222503,20,15663.986,0.674,21,AstraZeneca - AZD1222
IRQ,Asia,Iraq,2021-04-01,856939,14360,21304.965,357.014,0,0,0,0,0,0,0,0,40222503,20,15663.986,0.674,21,Beijing CNBG - Inactivated
IRQ,Asia,Iraq,2021-04-01,856939,14360,21304.965,357.014,0,0,0,0,0,0,0,0,40222503,20,15663.986,0.674,21,Gamaleya - Sputnik V
IRQ,Asia,Iraq,2021-04-01,856939,14360,21304.965,357.014,0,0,0,0,0,0,0,0,40222503,20,15663.986,0.674,21,Pfizer BioNTech - Comirnaty
IRL,Europe,Ireland,2021-04-01,236600,4705,47916.115,952.854,4025669,815.276,893375,636963,256412,18.09,12.9,5.19,4937796,38.7,67335.293,0.955,72,AstraZeneca - AZD1222
IRL,Europe,Ireland,2021-04-01,236600,4705,47916.115,952.854,4025669,815.276,893375,636963,256412,18.09,12.9,5.19,4937796,38.7,67335.293,0.955,72,Janssen - Ad26.COV 2.5
IRL,Europe,Ireland,2021-04-01,236600,4705,47916.115,952.854,4025669,815.276,893375,636963,256412,18.09,12.9,5.19,4937796,38.7,67335.293,0.955,72,Moderna - mRNA-1273
IRL,Europe,Ireland,2021-04-01,236600,4705,47916.115,952.854,4025669,815.276,893375,636963,256412,18.09,12.9,5.19,4937796,38.7,67335.293,0.955,72,Pfizer BioNTech - Comirnaty
ISR,Asia,Israel,2021-04-01,833456,6220,96291.613,718.615,15020545,1735.368,10067162,5254842,4812320,116.31,60.71,55.6,8655541,30.6,33132.32,0.919,60,Moderna - mRNA-1273
ISR,Asia,Israel,2021-04-01,833456,6220,96291.613,718.615,15020545,1735.368,10067162,5254842,4812320,116.31,60.71,55.6,8655541,30.6,33132.32,0.919,60,Pfizer BioNTech - Comirnaty
ITA,Europe,Italy,2021-04-01,3607083,109847,59658.848,1816.799,50258742,831.247,10605834,7289670,3316164,17.54,12.06,5.48,60461828,47.9,35220.084,0.892,53,AstraZeneca - AZD1222
ITA,Europe,Italy,2021-04-01,3607083,109847,59658.848,1816.799,50258742,831.247,10605834,7289670,3316164,17.54,12.06,5.48,60461828,47.9,35220.084,0.892,53,Moderna - mRNA-1273
ITA,Europe,Italy,2021-04-01,3607083,109847,59658.848,1816.799,50258742,831.247,10605834,7289670,3316164,17.54,12.06,5.48,60461828,47.9,35220.084,0.892,53,Pfizer BioNTech - Comirnaty
JAM,North America,Jamaica,2021-04-01,39543,599,13353.884,202.286,286470,96.742,41901,41901,0,1.42,1.42,0,2961161,31.4,8193.571,0.734,44,AstraZeneca - AZD1222
JAM,North America,Jamaica,2021-04-01,39543,599,13353.884,202.286,286470,96.742,41901,41901,0,1.42,1.42,0,2961161,31.4,8193.571,0.734,44,SII - Covishield
JPN,Asia,Japan,2021-04-01,477239,9173,3773.343,72.527,9351096,73.935,1050112,893315,156797,0.83,0.71,0.12,126476458,48.2,39002.223,0.919,74,AstraZeneca - AZD1222
JPN,Asia,Japan,2021-04-01,477239,9173,3773.343,72.527,9351096,73.935,1050112,893315,156797,0.83,0.71,0.12,126476458,48.2,39002.223,0.919,74,Moderna - mRNA-1273
JPN,Asia,Japan,2021-04-01,477239,9173,3773.343,72.527,9351096,73.935,1050112,893315,156797,0.83,0.71,0.12,126476458,48.2,39002.223,0.919,74,Novavax - Covavax
JPN,Asia,Japan,2021-04-01,477239,9173,3773.343,72.527,9351096,73.935,1050112,893315,156797,0.83,0.71,0.12,126476458,48.2,39002.223,0.919,74,Pfizer BioNTech - Comirnaty
JOR,Asia,Jordan,2021-04-01,618059,6940,60575.372,680.183,5966411,584.762,0,0,0,0,0,0,10203140,23.2,8337.49,0.729,49,AstraZeneca - AZD1222
JOR,Asia,Jordan,2021-04-01,618059,6940,60575.372,680.183,5966411,584.762,0,0,0,0,0,0,10203140,23.2,8337.49,0.729,49,Beijing CNBG - Inactivated
JOR,Asia,Jordan,2021-04-01,618059,6940,60575.372,680.183,5966411,584.762,0,0,0,0,0,0,10203140,23.2,8337.49,0.729,49,Gamaleya - Sputnik V
JOR,Asia,Jordan,2021-04-01,618059,6940,60575.372,680.183,5966411,584.762,0,0,0,0,0,0,10203140,23.2,8337.49,0.729,49,Janssen - Ad26.COV 2.5
JOR,Asia,Jordan,2021-04-01,618059,6940,60575.372,680.183,5966411,584.762,0,0,0,0,0,0,10203140,23.2,8337.49,0.729,49,Pfizer BioNTech - Comirnaty
KAZ,Asia,Kazakhstan,2021-04-01,299626,3234,15957.324,172.235,8727752,464.818,0,0,0,0,0,0,18776707,30.6,24055.588,0.825,38,Gamaleya - Sputnik V
KEN,Africa,Kenya,2021-04-01,135042,2167,2511.414,40.3,0,0,0,0,0,0,0,0,53771300,20,2993.028,0.601,31,SII - Covishield
KOS,Europe,Kosovo,2021-04-01,91079,1892,47123.461,978.904,0,0,0,0,0,0,0,0,1932774,30.5,9795.834,0.787,36,NA
KWT,Asia,Kuwait,2021-04-01,233521,1319,54681.549,308.859,2066048,483.788,0,0,0,0,0,0,4270563,33.7,65530.537,0.806,42,AstraZeneca - AZD1222
KWT,Asia,Kuwait,2021-04-01,233521,1319,54681.549,308.859,2066048,483.788,0,0,0,0,0,0,4270563,33.7,65530.537,0.806,42,Beijing CNBG - Inactivated
KWT,Asia,Kuwait,2021-04-01,233521,1319,54681.549,308.859,2066048,483.788,0,0,0,0,0,0,4270563,33.7,65530.537,0.806,42,Pfizer BioNTech - Comirnaty
KGZ,Asia,Kyrgyzstan,2021-04-01,88538,1500,13570.725,229.914,0,0,0,0,0,0,0,0,6524191,26.3,3393.474,0.697,31,Beijing CNBG - Inactivated
LAO,Asia,Laos,2021-04-01,49,0,6.735,0,0,0,0,0,0,0,0,0,7275556,24.4,6397.36,0.613,29,Beijing CNBG - Inactivated
LAO,Asia,Laos,2021-04-01,49,0,6.735,0,0,0,0,0,0,0,0,0,7275556,24.4,6397.36,0.613,29,Gamaleya - Sputnik V
LAO,Asia,Laos,2021-04-01,49,0,6.735,0,0,0,0,0,0,0,0,0,7275556,24.4,6397.36,0.613,29,Pfizer BioNTech - Comirnaty
LAO,Asia,Laos,2021-04-01,49,0,6.735,0,0,0,0,0,0,0,0,0,7275556,24.4,6397.36,0.613,29,SII - Covishield
LVA,Europe,Latvia,2021-04-01,103001,1913,54607.619,1014.207,1857766,984.924,143940,118970,24970,7.63,6.31,1.32,1886202,43.9,25063.846,0.866,57,AstraZeneca - AZD1222
LVA,Europe,Latvia,2021-04-01,103001,1913,54607.619,1014.207,1857766,984.924,143940,118970,24970,7.63,6.31,1.32,1886202,43.9,25063.846,0.866,57,Moderna - mRNA-1273
LVA,Europe,Latvia,2021-04-01,103001,1913,54607.619,1014.207,1857766,984.924,143940,118970,24970,7.63,6.31,1.32,1886202,43.9,25063.846,0.866,57,Pfizer BioNTech - Comirnaty
LBN,Asia,Lebanon,2021-04-01,471962,6286,69147.463,920.966,0,0,222332,136761,85571,3.26,2,1.25,6825442,31.1,13367.565,0.744,25,AstraZeneca - AZD1222
LBN,Asia,Lebanon,2021-04-01,471962,6286,69147.463,920.966,0,0,222332,136761,85571,3.26,2,1.25,6825442,31.1,13367.565,0.744,25,Beijing CNBG - Inactivated
